%	Date:	2010-12-14	Time:	20:18:34
%	Sampling frequency		[Hz]:	204800
%	Generator amplitude		[V]:	2.0000
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[dB]	[dB ref fund]	[dB ref fund]	[dB ref fund]	[dB ref fund]
3.7476E+2	-1.1646E+2	-7.0319E+0	-4.8225E+0	-1.2246E+1	-7.7323E+0	-1.4338E+1	-1.1911E+1
4.0185E+2	-1.1412E+2	-1.7634E+1	-3.1565E+0	-8.1148E+0	-5.1668E+0	-2.0844E+1	-1.7813E+1
4.3089E+2	-1.1604E+2	2.9760E+1	-4.2368E-2	-3.5293E+0	-1.1050E+1	-5.5394E+0	-7.2402E+0
4.6203E+2	-1.1599E+2	-2.3741E+1	-4.8542E+0	-2.2095E+1	-5.4784E+0	-1.5697E+1	-1.9720E+1
4.9542E+2	-1.1534E+2	2.7201E+1	-1.7285E+0	-1.3728E+1	-4.1317E+0	-8.6101E+0	-9.7739E+0
5.3122E+2	-1.1604E+2	-7.9978E+0	-4.8378E+0	-1.3755E+1	-7.3521E+0	-1.9105E+1	-1.0464E+1
5.6961E+2	-1.1482E+2	1.5883E+1	-1.8436E+0	-9.2090E+0	-4.8740E+0	-1.5359E+1	-7.4603E+0
6.1077E+2	-1.1952E+2	1.5687E+1	2.5107E+0	-5.6323E-1	-1.6993E+1	-1.7359E+0	-6.6999E+0
6.5491E+2	-1.2211E+2	-1.8176E+1	1.9010E+0	-5.0861E+0	-4.4181E+0	-5.8719E-1	-2.3912E+1
7.0224E+2	-1.1840E+2	3.1540E+1	-3.9107E-2	-3.4202E+0	-8.4906E+0	-1.1151E+1	-4.9785E+0
7.5299E+2	-1.1501E+2	2.5480E+1	8.9500E-1	-4.2930E+0	-6.7447E+0	-6.6385E+0	-3.6829E+0
8.0740E+2	-1.1951E+2	2.8040E+1	3.3995E+0	-6.2913E+0	1.1470E+0	-4.6173E+0	-5.1568E+0
8.6575E+2	-1.1494E+2	2.0656E+1	-3.2374E-1	-3.9126E+0	-4.2954E+0	-1.0791E+1	-1.1760E+1
9.2832E+2	-1.1669E+2	-1.7885E+1	-3.6698E+0	-7.9611E+0	-6.2897E+0	-1.5042E+1	-2.4754E+1
9.9540E+2	-1.1894E+2	1.1001E+1	-5.0805E+0	-1.3767E+1	-1.5327E+1	-6.6419E+0	-1.6494E+1
1.0673E+3	-1.1418E+2	2.1861E+1	-9.7533E-1	-6.0861E+0	-2.5886E+0	-4.2288E+1	-2.8084E+1
1.1445E+3	-1.1611E+2	4.8140E+1	-7.9146E+0	-1.1237E+1	-1.2491E+1	-1.9166E+1	-1.7457E+1
1.2272E+3	-1.1515E+2	3.3566E+1	-6.9000E-1	-4.8712E+0	-6.4160E+0	-6.0189E+0	-1.3097E+1
1.3159E+3	-1.1689E+2	4.1618E+1	-1.2270E+0	-9.4160E+0	-8.2148E+0	-5.2800E+0	-7.1635E+0
1.4110E+3	-1.1400E+2	1.4277E+1	-4.7508E+0	-1.2612E+1	-9.2831E+0	-8.3947E+0	-1.7586E+1
1.5129E+3	-1.1685E+2	6.2515E+1	-1.2233E+0	-4.7936E+0	-8.4825E+0	-6.6701E+0	-1.1817E+1
1.6223E+3	-1.1317E+2	4.6086E+1	-8.0196E+0	-1.1340E+1	-2.0988E+1	-1.5247E+1	-1.3326E+1
1.7395E+3	-1.1186E+2	6.8466E+1	-1.2163E+1	-2.4171E+1	-1.4927E+1	-2.0176E+1	-1.8187E+1
1.8652E+3	-1.1087E+2	4.7605E+1	-6.4608E+0	-1.9852E+1	-1.7722E+1	-1.9115E+1	-7.2956E+0
2.0000E+3	-1.1366E+2	3.4655E+1	-4.4068E-1	-9.1552E+0	-1.5023E+1	-1.3812E+0	-1.6382E+1
2.1445E+3	-1.1250E+2	4.4634E+1	-2.5754E+0	-1.5078E+1	-1.3931E+1	-6.5096E+0	-5.8875E+0
2.2995E+3	-1.1387E+2	2.7290E+1	-4.1697E+0	-2.3791E+1	-1.1153E+1	-6.0791E+0	-1.2570E+1
2.4657E+3	-1.1502E+2	4.9816E+1	-6.5230E+0	-1.3086E+1	-1.3284E+1	-9.4234E+0	-1.9060E+1
2.6439E+3	-1.1256E+2	4.9617E+1	-5.1478E+0	-2.1056E+1	-6.0736E+0	-1.3127E+1	-2.6655E+1
2.8349E+3	-1.1211E+2	4.6088E+1	-6.6806E+0	-1.4134E+1	-2.2428E+1	-1.2935E+1	-9.2244E+0
3.0398E+3	-1.1308E+2	4.2957E+1	-4.7095E+0	-8.0544E+0	-2.9826E+1	-7.4368E+0	-3.9666E+1
3.2595E+3	-1.1509E+2	4.0250E+1	-3.4820E+0	-5.0390E+0	-1.4302E+1	-1.9184E+1	-1.0658E+1
3.4951E+3	-1.1149E+2	5.8706E+1	-1.1986E+1	-2.7664E+1	-1.8882E+1	-1.5754E+1	-1.6562E+1
3.7476E+3	-1.1298E+2	5.3673E+1	-3.1299E+0	-6.0879E+0	-1.3683E+1	-9.0568E+0	-1.1356E+1
4.0185E+3	-1.1236E+2	5.5262E+1	-4.0535E+0	-1.0040E+1	-1.0405E+1	-8.4736E+0	-1.2152E+1
4.3089E+3	-1.0837E+2	7.1101E+1	-1.1534E+1	-4.1429E+1	-1.5891E+1	-2.3026E+1	-1.4041E+1
4.6203E+3	-1.0900E+2	6.2195E+1	-1.0967E+1	-1.6389E+1	-3.6079E+1	-1.5201E+1	-1.5747E+1
4.9542E+3	-1.0876E+2	7.4777E+1	-5.3764E+0	-1.3210E+1	-2.0049E+1	-1.3588E+1	-7.2457E+0
5.3122E+3	-1.0978E+2	5.7920E+1	-4.5758E+0	-1.7305E+1	-1.3807E+1	-8.2758E+0	-8.5474E+0
5.6961E+3	-1.0881E+2	7.8718E+1	-6.7809E+0	-1.3609E+1	-1.8788E+1	-9.1944E+0	-1.4856E+1
6.1077E+3	-1.0766E+2	8.0221E+1	-8.8056E+0	-1.8460E+1	-9.6907E+0	-2.3446E+1	-2.2600E+1
6.5491E+3	-1.0638E+2	7.0156E+1	-1.8000E+1	-2.2302E+1	-3.0052E+1	-2.2924E+1	-2.4116E+1
7.0224E+3	-1.0641E+2	7.0902E+1	-5.2285E+0	-2.5188E+1	-6.2750E+0	-1.6996E+1	-1.3847E+1
7.5299E+3	-1.0572E+2	8.4785E+1	-9.7098E+0	-2.3161E+1	-1.3487E+1	-1.2934E+1	-2.1950E+1
8.0740E+3	-1.0500E+2	7.4099E+1	-1.2476E+1	-1.8998E+1	-2.7857E+1	-1.5051E+1	-1.9563E+1
8.6575E+3	-1.0506E+2	7.8993E+1	-4.4748E+0	-2.6133E+1	-1.3333E+1	-2.3013E+1	-5.1853E+0
9.2832E+3	-1.0554E+2	8.2241E+1	-9.1497E+0	-1.6269E+1	-1.4784E+1	-1.2751E+1	-1.9318E+1
9.9540E+3	-1.0464E+2	8.0853E+1	-1.4163E+1	-1.5290E+1	-2.5934E+1	-3.2480E+1	-2.2484E+1
1.0673E+4	-1.0395E+2	7.7935E+1	-8.7439E+0	-1.5684E+1	-1.5880E+1	-2.2134E+1	-1.1273E+1
1.1445E+4	-1.0339E+2	8.1365E+1	-9.9413E+0	-2.5640E+1	-1.7837E+1	-1.2328E+1	-1.6258E+1
1.2272E+4	-1.0304E+2	8.4872E+1	-1.1730E+1	-2.2724E+1	-1.5454E+1	-1.6833E+1	-1.9003E+1
1.3159E+4	-1.0289E+2	8.0123E+1	5.4873E-1	-1.8288E+1	-7.6591E-1	-1.9072E+1	-5.7001E+0
1.4110E+4	-1.0175E+2	9.0043E+1	-1.2737E+1	-1.9643E+1	-1.6690E+1	-1.9588E+1	-2.0012E+1
1.5129E+4	-1.0060E+2	8.7501E+1	-1.2091E+1	-2.5703E+1	-2.2679E+1	-1.8787E+1	-1.3928E+1
1.6223E+4	-9.9950E+1	8.7472E+1	-1.3334E+1	-2.6715E+1	-1.6713E+1	-2.0997E+1	-1.8234E+1
1.7395E+4	-9.9385E+1	8.6820E+1	-1.2695E+1	-1.8991E+1	-4.4981E+1	-2.3312E+1	-1.4383E+1
1.8652E+4	-9.9247E+1	9.5816E+1	-1.5606E+1	-1.9161E+1	-2.4777E+1	-2.2554E+1	-2.1880E+1
2.0000E+4	-9.8257E+1	9.3441E+1	-1.4979E+1	-1.8133E+1	-2.5705E+1	-2.5389E+1	-1.9657E+1
